Name,Code,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016
科特迪瓦,CIV,3193.758531,3083.890945,2970.47508,2864.708804,2793.440697,2898.400745,3027.80288,3049.486821,3111.50077,3081.198619,2947.606573,2889.94571,2788.347363,2701.769483,2686.665668,2682.448861,2670.229356,2662.331114,2672.337082,2698.554349,2690.258002,2511.420195,2712.378026,2879.850217,3054.534874,3241.612056,3413.255786
喀麦隆,CMR,3020.491911,2822.219192,2657.992144,2380.037889,2365.552395,2383.748573,2424.402695,2487.663546,2535.558413,2578.98146,2603.771592,2648.546705,2689.891737,2739.685104,2848.654228,2829.19069,2848.724658,2907.826607,2927.844648,2911.296669,2929.829113,2969.047575,3021.20597,3100.17131,3196.361526,3289.064546,3353.163046
刚果（金）,COD,1386.830748,1224.064884,1053.550567,876.7283688,812.4086094,792.0938246,762.4551086,702.2305165,675.2589798,631.5219396,573.1708503,545.8516038,545.6887703,558.7015428,577.8607385,594.0770303,605.8631667,623.1286665,640.4783066,637.2751488,660.2109558,682.4321554,706.7979638,741.6184302,785.3473407,812.4033701,805.0642641
刚果（布）,COG,5140.416146,5122.260941,5114.784771,4928.001902,4530.730304,4582.106819,4645.978468,4487.209498,4523.627153,4283.324088,4480.147677,4524.171563,4604.574502,4515.665444,4539.273904,4742.93598,4875.937296,4637.212916,4730.033797,4918.072012,5186.344788,5213.946921,5271.16806,5317.086292,5538.052941,5542.892982,5250.867608
哥伦比亚,COL,7465.368522,7474.087745,7636.027245,7905.748913,8222.690827,8507.588842,8543.965942,8700.676407,8618.966465,8135.277641,8252.055713,8270.776103,8358.864891,8566.936114,8902.997487,9201.103287,9701.592372,10240.14411,10449.57621,10455.70018,10791.01068,11463.53505,11790.32539,12208.59158,12665.7489,12922.04279,13060.63525
科摩罗,COM,2580.500555,2370.551682,2498.64974,2500.284242,2301.732357,2319.027785,2227.080463,2255.327186,2224.719775,2209.807403,2388.511995,2384.738095,2381.945354,2374.794373,2363.575734,2373.420815,2378.692957,2340.94004,2376.756482,2394.43982,2426.182496,2465.324918,2483.420216,2533.460881,2525.742739,2494.27416,2490.620448
佛得角,CPV,1656.907503,1641.516851,1774.627171,1877.285579,2177.550633,2423.288843,2632.979451,2858.333471,3145.619747,3425.087925,3835.238606,3844.508364,3971.288249,4064.843649,4407.340031,4643.455384,4949.2259,5633.93311,5944.038825,5806.646232,5828.241588,5991.77849,5986.939054,5963.907977,5928.199025,5915.122632,6117.1767
哥斯达黎加,CRI,7803.063354,7779.697194,8281.790829,8647.010835,8811.67171,8952.103478,8846.703251,9120.947934,9536.71806,9703.259226,9878.288658,10040.57411,10201.58769,10473.91637,10768.74136,11025.47679,11656.21431,12433.2016,12834.93616,12543.9779,12999.99219,13397.23054,13878.0474,14035.28798,14372.40078,14738.61337,15208.08291
加勒比小国,CSS,9365.916977,9484.584422,9413.466369,9607.84667,9789.970574,10000.38356,10255.5114,10503.5545,10730.92675,11092.9635,11437.3922,11612.50245,11989.14858,12703.00031,13171.21942,13577.42419,14483.96757,14886.04903,15025.56386,14410.1854,14547.75576,14616.7587,14707.48222,14764.54563,14774.93188,14847.38854,14446.3044
古巴,CUB,,,,,,,,,,,,,,,,,,,,,,,,,,,
库拉索,CUW,,,,,,,,,,,,,,,,,,,,,,27907.86617,,,,,
开曼群岛,CYM,,,,,,,,,65182.13176,63897.02463,61627.0992,59665.32407,58750.92877,58246.43766,57191.39381,59251.51081,60231.64835,60384.0825,58527.81389,52959.66132,50381.67008,50004.90187,49789.12519,49693.51481,50322.09537,51065.15272,52172.83515
塞浦路斯,CYP,22471.85809,22059.5573,23499.56879,23099.4586,23961.57684,25523.71801,25433.75031,25738.0087,26978.00835,28011.15372,29368.06122,30201.55539,30968.99073,31397.47876,32537.46323,33628.68932,34631.25885,35630.05078,36013.61919,34353.16324,33913.29515,33192.3369,31749.56156,29977.91369,29912.19003,30673.30252,32002.23422
